dataset,n_subjects,n_records,n_tasks,modality of exp,type of exp,Type Subject,duration_hours_total,size,size_bytes,source,dataset_title,record_modality,nchans_set,sampling_freqs,license,doi
ds005574,0,0,0,,Unknown,Unknown,0,Unknown,15507570212.0,openneuro,"The ""Podcast"" ECoG dataset",['ieeg'],"[{""val"": 178, ""count"": 1}, {""val"": 114, ""count"": 1}, {""val"": 174, ""count"": 1}, {""val"": 124, ""count"": 1}, {""val"": 264, ""count"": 1}, {""val"": 138, ""count"": 1}, {""val"": 205, ""count"": 1}, {""val"": 91, ""count"": 1}, {""val"": 167, ""count"": 1}]","[{""val"": 512.0, ""count"": 8}, {""val"": 2048.0, ""count"": 1}]",CC0,doi:10.18112/openneuro.ds005574.v1.0.2
ds005586,0,0,0,,Unknown,Unknown,0,Unknown,30422094662.0,openneuro,Electroencephalographic responses to the number of objects in partially occluded and uncovered scenes,eeg,"[{""val"": 63, ""count"": 23}]","[{""val"": 1000.0, ""count"": 23}]",CC0,doi:10.18112/openneuro.ds005586.v2.0.0
ds005594,0,0,0,,Unknown,Unknown,0,Unknown,11695588974.0,openneuro,Alphabetic Decision Task (Arial Light Font),['eeg'],"[{""val"": 66, ""count"": 16}]","[{""val"": 1000.0, ""count"": 16}]",CC0,doi:10.18112/openneuro.ds005594.v1.0.3
ds005620,0,0,0,,Unknown,Unknown,0,Unknown,83002662733.0,openneuro,A repeated awakening study exploring the capacity of complexity measures to capture dreaming during propofol sedation,eeg,"[{""val"": 64, ""count"": 132}, {""val"": 65, ""count"": 70}]","[{""val"": 5000.0, ""count"": 202}]",CC0,doi:10.18112/openneuro.ds005620.v1.0.0
ds005624,0,0,0,,Unknown,Unknown,0,Unknown,14768426442.0,openneuro,Color Change Detection Task,ieeg,"[{""val"": 74, ""count"": 4}, {""val"": 172, ""count"": 3}, {""val"": 223, ""count"": 3}, {""val"": 95, ""count"": 2}, {""val"": 162, ""count"": 2}, {""val"": 115, ""count"": 2}, {""val"": 111, ""count"": 2}, {""val"": 152, ""count"": 2}, {""val"": 100, ""count"": 2}, {""val"": 151, ""count"": 2}, {""val"": 205, ""count"": 1}, {""val"": 101, ""count"": 1}, {""val"": 228, ""count"": 1}, {""val"": 173, ""count"": 1}, {""val"": 189, ""count"": 1}, {""val"": 191, ""count"": 1}, {""val"": 128, ""count"": 1}, {""val"": 123, ""count"": 1}, {""val"": 118, ""count"": 1}, {""val"": 127, ""count"": 1}, {""val"": 166, ""count"": 1}]","[{""val"": 512.0, ""count"": 26}, {""val"": 1024.0, ""count"": 9}]",CC0,doi:10.18112/openneuro.ds005624.v1.0.0
ds005628,0,0,0,,Unknown,Unknown,0,Unknown,664444547.0,openneuro,Dataset of Visual and Audiovisual Stimuli in Virtual Reality from the Edzna Archaeological Site,eeg,"[{""val"": 8, ""count"": 306}]","[{""val"": 250.0, ""count"": 306}]",CC0,doi:10.18112/openneuro.ds005628.v1.0.0
ds005642,0,0,0,,Unknown,Unknown,0,Unknown,14838061051.0,openneuro,illusory-face-eeg,eeg,"[{""val"": 68, ""count"": 21}]","[{""val"": 1024.0, ""count"": 21}]",CC0,doi:10.18112/openneuro.ds005642.v1.0.1
ds005648,0,0,0,,Unknown,Unknown,0,Unknown,16672927026.0,openneuro,Mapping object space dimensions: new insights from temporal dynamics,['eeg'],"[{""val"": 64, ""count"": 21}]","[{""val"": 2048.0, ""count"": 21}]",CC0,doi:10.18112/openneuro.ds005648.v1.0.2
ds005662,0,0,0,,Unknown,Unknown,0,Unknown,115754787270.0,openneuro,A high-quality EEG dataset for studying visual touch perception,['eeg'],"[{""val"": 65, ""count"": 80}]","[{""val"": 2048.0, ""count"": 80}]",CC0,doi:10.18112/openneuro.ds005662.v2.0.0
ds005670,0,0,0,,Unknown,Unknown,0,Unknown,743242149.0,openneuro,SEEG Resting State Recording,ieeg,"[{""val"": 186, ""count"": 1}, {""val"": 238, ""count"": 1}]","[{""val"": 2000.0, ""count"": 2}]",CC0,doi:10.18112/openneuro.ds005670.v1.0.0
ds005672,0,0,0,,Unknown,Unknown,0,Unknown,4545640816.0,openneuro,PerceiveImagine,['eeg'],"[{""val"": 69, ""count"": 2}, {""val"": 65, ""count"": 1}]","[{""val"": 1000.0, ""count"": 3}]",CC0,doi:10.18112/openneuro.ds005672.v1.0.0
ds005688,0,0,0,,Unknown,Unknown,0,Unknown,9036020603.0,openneuro,visStim,['eeg'],"[{""val"": 4, ""count"": 86}, {""val"": 1, ""count"": 3}]","[{""val"": 10000.0, ""count"": 74}, {""val"": 20000.0, ""count"": 15}]",CC0,doi:10.18112/openneuro.ds005688.v1.0.1
ds005691,0,0,0,,Unknown,Unknown,0,Unknown,758159062.0,openneuro,SpinalExpect_Invasive,ieeg,"[{""val"": 7, ""count"": 8}]","[{""val"": 2500.0, ""count"": 8}]",CC0,doi:10.18112/openneuro.ds005691.v1.0.0
ds005692,0,0,0,,Unknown,Unknown,0,Unknown,99649236711.0,openneuro,SpinalExpect_NonInvasive,['eeg'],"[{""val"": 24, ""count"": 59}]","[{""val"": 5000.0, ""count"": 59}]",CC0,doi:10.18112/openneuro.ds005692.v1.0.0
ds005697,0,0,0,,Unknown,Unknown,0,Unknown,71461601517.0,openneuro,PerceiveImagine,['eeg'],"[{""val"": 65, ""count"": 45}, {""val"": 69, ""count"": 6}]","[{""val"": 1000.0, ""count"": 50}, {""val"": null, ""count"": 1}]",CC0,doi:10.18112/openneuro.ds005697.v1.0.2
ds005752,0,0,0,,Unknown,Unknown,0,Unknown,711534899143.0,openneuro,The NIMH Healthy Research Volunteer Dataset,meg,"[{""val"": null, ""count"": 3167}, {""val"": 305, ""count"": 240}, {""val"": 306, ""count"": 183}, {""val"": 304, ""count"": 123}, {""val"": 302, ""count"": 117}, {""val"": 303, ""count"": 110}, {""val"": 301, ""count"": 71}, {""val"": 382, ""count"": 59}, {""val"": 300, ""count"": 57}, {""val"": 378, ""count"": 20}, {""val"": 377, ""count"": 16}, {""val"": 379, ""count"": 16}, {""val"": 381, ""count"": 15}, {""val"": 380, ""count"": 15}, {""val"": 299, ""count"": 3}, {""val"": 387, ""count"": 1}, {""val"": 388, ""count"": 1}]","[{""val"": null, ""count"": 3167}, {""val"": 1200.0, ""count"": 926}, {""val"": 4800.0, ""count"": 121}]",CC0,doi:10.18112/openneuro.ds005752.v2.1.0
ds005776,0,0,0,,Unknown,Unknown,0,Unknown,1286928698.0,openneuro,Electrical_Thermal_FingerTapping_2015,['fnirs'],"[{""val"": null, ""count"": 217}, {""val"": 102, ""count"": 46}]","[{""val"": null, ""count"": 217}, {""val"": 50.0, ""count"": 46}]",CC0,doi:10.18112/openneuro.ds005776.v1.0.1
ds005777,0,0,0,,Unknown,Unknown,0,Unknown,906782275.0,openneuro,Electrical_Morphine_Placebo_2018,['fnirs'],"[{""val"": null, ""count"": 536}, {""val"": 66, ""count"": 113}]","[{""val"": null, ""count"": 536}, {""val"": 25.0, ""count"": 113}]",CC0,doi:10.18112/openneuro.ds005777.v1.0.1
ds005779,0,0,0,,Unknown,Unknown,0,Unknown,95206991257.0,openneuro,Real-time personalized brain state-dependent TMS in healthy adults ,['eeg'],"[{""val"": 67, ""count"": 235}, {""val"": 64, ""count"": 14}, {""val"": 70, ""count"": 1}]","[{""val"": 5000.0, ""count"": 250}]",CC0,doi:10.18112/openneuro.ds005779.v1.0.1
ds005787,0,0,0,,Unknown,Unknown,0,Unknown,15178095600.0,openneuro,NOD-EEG,eeg,"[{""val"": 64, ""count"": 440}, {""val"": 66, ""count"": 8}]","[{""val"": 500.0, ""count"": 288}, {""val"": 1000.0, ""count"": 160}]",CC0,doi:10.18112/openneuro.ds005787.v1.0.0
